Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand,Category,Intent,Has_Local_Modifier
shipping container wanted to buy,1,1,2400,10,1.74,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,84,0.52,146,0.96,414000000,"10,7,16,16,100,54,100,100,100,81,3,54",2025-12-13,"Sitelinks, Video, People also ask, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,True
shipping containers,2,2,2400,61,1.89,https://www.royalwolf.com.au/,52,0.32,98,0.7,278000000,"54,81,36,54,43,19,24,19,19,28,54,36",2025-11-26,"Local pack, Sitelinks, Video, People also ask, Popular products, Related searches, See results about",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage in canberra,18,18,2400,24,2.72,https://www.royalwolf.com.au/product/self-storage-canberra,3,0.01,8,0.58,40000000,"15,13,24,13,36,19,28,43,54,43,54,54",2025-11-30,"Local pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
royal wolf,1,1,1900,39,1.61,https://www.royalwolf.com.au/,1520,9.5,2447,0.33,83000000,"65,65,65,44,65,65,82,55,65,55,55,55",2025-12-10,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Related searches, See results about","commercial, navigational",Organic,Royal Wolf,Uncategorized,Commercial,False
storage moorebank,5,5,1900,23,3.65,https://www.royalwolf.com.au/product/self-storage-moorebank,45,0.28,164,0.04,90500,"7,13,16,36,20,43,43,54,65,65,65,100",2025-10-03,"Local pack, Video, Image, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container dimensions,14,14,1900,19,0.38,https://www.royalwolf.com.au/storage-containers,9,0.05,3,0.17,130000000,"65,65,65,82,82,55,55,82,100,65,82,82",2025-12-09,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage canberra,17,17,1900,21,2.72,https://www.royalwolf.com.au/product/self-storage-canberra,5,0.03,13,0.58,8,"65,82,82,100,100,44,65,65,55,34,55,34",2025-11-18,"Local pack, Image pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
shipping container for sale,2,2,1600,25,1.74,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,131,0.81,227,0.96,115000000,"66,66,36,36,36,36,27,27,66,27,44,52",2025-12-07,"Local pack, Video, Image, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
shipping containers shipping,3,3,1600,28,1.89,https://www.royalwolf.com.au/shipping-containers,30,0.18,56,0.7,122000000,"2,1,1,7,29,12,100,2,1,44,1,8",2025-12-05,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
geelong storage,14,14,1600,23,2.09,https://www.royalwolf.com.au/product/self-storage-geelong,4,0.02,8,0.74,9350000,"2,8,20,22,54,1,54,43,43,36,100,65",2025-12-11,"Local pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
kwik koffee,15,15,1600,29,0.0,https://www.royalwolf.com.au/royal-wolf-and-yahava-take-off-at-perth-airport,4,0.02,0,0.02,11000,"44,52,52,24,36,27,52,44,36,36,44,44",2025-12-14,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic,Royal Wolf,Uncategorized,Commercial,False
Client J,3,3,1300,57,3.3,https://www.royalwolf.com.au/client-j-Brands,7,0.04,23,0.09,911000000,"84,100,68,46,46,46,68,68,84,84,100,100",2025-12-15,"Knowledge panel, Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches","commercial, navigational",Organic,Royal Wolf,Uncategorized,Transactional,False
20ft container dimensions,4,4,1300,28,0.58,https://www.royalwolf.com.au/product/20ft-shipping-containers,3,0.01,1,0.09,10100000,"54,66,66,41,54,54,54,54,54,54,66,66",2025-10-13,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container width,5,5,1300,26,0.38,https://www.royalwolf.com.au/storage-containers,28,0.17,10,0.17,27200000,"46,52,68,84,84,68,84,100,52,37,37,84",2025-11-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage hume,12,12,1300,17,2.96,https://www.royalwolf.com.au/product/self-storage-canberra,6,0.03,17,0.1,10,"10,8,8,10,19,10,10,19,24,24,28,28",2025-11-17,"Local pack, Image pack, Ads bottom, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
total control,13,13,1300,50,0.0,https://www.royalwolf.com.au/total-control,1,0.0,0,0.0,2810000000,"4,4,3,3,4,4,4,3,3,2,4,3",2025-12-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic,Royal Wolf,Uncategorized,Commercial,False
lockable storage box,14,14,1300,28,0.58,https://www.royalwolf.com.au/product/wolf-lock-container,5,0.03,2,1.0,397000000,"81,100,81,62,81,62,81,62,81,81,81,81",2025-12-17,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage rental,15,15,1300,57,2.78,https://www.royalwolf.com.au/,1,0.0,2,0.71,970000000,"36,79,41,66,66,79,100,24,16,20,41,41",2025-10-14,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,False
chl 7,15,15,1300,76,1.9,https://www.royalwolf.com.au/channel-7,0,0.0,0,0.0,1550000000,"1,2,2,1,0,0,0,1,1,100,54,0",2025-09-30,"Sitelinks, Video, Image, Video Carousel, Related searches",navigational,Organic,Royal Wolf,Uncategorized,Commercial,False
20ft container dimensions,15,15,1300,28,0.58,https://www.royalwolf.com.au/storage-containers,0,0.0,0,0.09,10100000,"54,66,66,41,54,54,54,54,54,54,66,66",2025-10-13,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
dubbo storage,18,18,1300,16,1.6,https://www.royalwolf.com.au/offices/dubbo,1,0.0,1,0.32,2120000,"8,20,41,41,54,41,54,66,66,66,100,54",2025-12-07,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
royal wolf containers,1,1,1000,19,1.94,https://www.royalwolf.com.au/,14,0.08,27,0.61,2150000,"76,76,76,67,100,100,100,100,67,100,100,76",2025-12-18,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, See results about","commercial, navigational",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
containers for sale,1,1,1000,33,1.98,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,132,0.82,261,0.97,1300000000,"37,46,46,46,52,68,52,52,46,37,52,52",2025-12-04,"Local pack, Sitelinks, Ads bottom, Popular products, Related searches, See results about",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
20ft shipping container,3,3,1000,14,2.09,https://www.royalwolf.com.au/product/20ft-shipping-containers,65,0.4,135,0.99,3450000,"30,36,30,24,36,30,36,30,30,36,79,100",2025-11-30,"Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container sizes dimensions,3,3,1000,6,0.38,https://www.royalwolf.com.au/storage-containers,65,0.4,24,0.17,30100000,"37,46,46,68,84,46,52,84,52,31,37,46",2025-12-20,"Video, Image, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container sizes,3,3,1000,11,0.7,https://www.royalwolf.com.au/storage-containers,65,0.4,45,0.33,141000000,"46,46,37,37,52,46,52,52,52,52,68,84",2025-12-16,"Video, Image, Related searches, Short videos, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
Client J Client J,4,4,1000,85,2.09,https://www.royalwolf.com.au/client-j-Brands,6,0.03,12,0.11,230000000,"55,55,45,45,30,45,45,62,62,81,81,100",2025-10-06,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",navigational,Organic,Royal Wolf,Uncategorized,Transactional,False
wolf housing,6,6,1000,36,2.01,https://www.royalwolf.com.au/crisis-accommodation,35,0.21,70,0.08,30100000,"52,31,31,37,68,68,68,84,100,84,7,68",2025-12-07,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,Royal Wolf,Uncategorized,Commercial,False
storage townsville,7,7,1000,28,1.95,https://www.royalwolf.com.au/product/self-storage-townsville,19,0.11,37,0.5,11200000,"55,100,67,100,100,67,76,67,67,67,67,55",2025-12-16,"Local pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
container dimensions 20ft,10,10,1000,26,0.5,https://www.royalwolf.com.au/product/20ft-shipping-containers,1,0.0,0,0.19,1610000,"46,52,31,46,37,25,68,84,84,100,84,7",2025-09-30,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
inclone,12,12,1000,60,0.0,https://www.royalwolf.com.au/pac-van-inc-lone-star-tank-rental-and-royal-wolf-announce-over-100000-units-in-their-combined-rental-fleet,5,0.03,0,0.0,0,"46,31,31,25,68,68,84,68,100,8,4,68",2025-11-16,"Instant answer, Image pack, Video, Image, Related searches, AI overview",informational,Organic,Royal Wolf,Uncategorized,Commercial,False
20ft shipping container,14,14,1000,14,2.09,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,1,0.0,2,0.99,3450000,"30,36,30,24,36,30,36,30,30,36,79,100",2025-11-30,"Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20 feet container measurement,14,14,1000,19,0.54,https://www.royalwolf.com.au/product/20ft-shipping-containers,1,0.0,0,0.14,10,"46,25,37,20,68,68,84,68,100,52,8,52",2025-11-17,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
portable office,15,15,1000,5,1.26,https://www.royalwolf.com.au/product/portable-offices,1,0.0,1,1.0,9,"76,67,55,67,100,67,76,55,76,76,76,100",2025-11-17,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
container dimensions 20ft,15,15,1000,26,0.5,https://www.royalwolf.com.au/storage-containers,0,0.0,0,0.19,1610000,"46,52,31,46,37,25,68,84,84,100,84,7",2025-09-30,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container storage,1,1,880,22,2.99,https://www.royalwolf.com.au/self-storage,21,0.13,62,0.64,90100000,"30,45,55,55,67,55,76,67,45,36,100,100",2025-12-02,"Local pack, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container hire,1,1,880,37,4.05,https://www.royalwolf.com.au/shipping-containers,21,0.13,85,0.81,15500000,"36,36,36,36,55,55,55,45,45,45,81,100",2025-10-13,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,False
containers for sell,1,1,880,20,1.98,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,57,0.35,112,0.97,138000000,"55,45,45,36,100,100,67,76,100,76,24,67",2025-12-10,"Local pack, Sitelinks, Image, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20ft container,1,1,880,12,2.09,https://www.royalwolf.com.au/product/20ft-shipping-containers,72,0.45,150,0.85,10500000,"45,36,36,36,45,36,45,45,45,45,100,100",2025-12-15,"Image pack, Video, Popular products, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20 foot container shipping,2,2,880,6,2.04,https://www.royalwolf.com.au/product/20ft-shipping-containers,30,0.18,61,0.91,33600000,"55,62,36,30,100,81,100,45,55,36,10,20",2025-11-29,"Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
40ft shipping container,7,7,880,7,1.71,https://www.royalwolf.com.au/product/40ft-shipping-containers,21,0.13,35,0.82,2750000,"45,45,36,45,62,45,36,36,36,45,100,100",2025-12-16,"Sitelinks, Video, Popular products, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container dimension,8,8,880,16,0.38,https://www.royalwolf.com.au/storage-containers,4,0.02,1,0.17,38000000,"55,45,45,30,36,62,62,81,100,55,62,62",2025-12-07,"Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20 foot container specifications,10,10,880,22,0.54,https://www.royalwolf.com.au/product/20ft-shipping-containers,2,0.01,1,0.14,11700000,"52,31,46,37,11,7,13,84,100,84,7,68",2025-11-26,"Image pack, Image, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage geelong,12,12,880,33,2.09,https://www.royalwolf.com.au/product/self-storage-geelong,1,0.0,2,0.74,9510000,"52,68,31,46,52,37,68,46,31,46,52,37",2025-10-09,"Local pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
self storage canberra,13,13,880,27,2.72,https://www.royalwolf.com.au/product/self-storage-canberra,2,0.01,5,0.58,14100000,"55,24,20,11,20,24,44,44,7,30,34,16",2025-10-14,"Local pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
shipping container storage,14,14,880,22,2.99,https://www.royalwolf.com.au/product/self-storage,1,0.0,2,0.64,90100000,"30,45,55,55,67,55,76,67,45,36,100,100",2025-12-02,"Local pack, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
refrigerated,14,14,880,34,2.41,https://www.royalwolf.com.au/refrigerated-containers,1,0.0,2,0.09,62700000,"100,37,52,46,52,25,52,37,52,37,37,37",2025-12-16,"Instant answer, Sitelinks, Video, People also ask, Related searches, See results about",informational,Organic,Royal Wolf,Uncategorized,Commercial,False
shipping container hire,14,14,880,37,4.05,https://www.royalwolf.com.au/offices/south-brisbane,1,0.0,4,0.81,15500000,"36,36,36,36,55,55,55,45,45,45,81,100",2025-10-13,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,False
40ft shipping container,16,16,880,7,1.71,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,2,0.01,3,0.82,2750000,"45,45,36,45,62,45,36,36,36,45,100,100",2025-12-16,"Sitelinks, Video, Popular products, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage units townsville,16,16,880,26,1.95,https://www.royalwolf.com.au/product/self-storage-townsville,1,0.0,1,0.5,1590000,"62,62,81,81,100,45,24,30,36,45,30,36",2025-12-05,"Local pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
container ship container ship,17,17,880,39,3.15,https://www.royalwolf.com.au/shipping-containers,1,0.0,3,0.1,287000000,"37,20,25,25,68,68,68,68,100,0,8,31",2025-12-16,"Carousel, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20ft container,18,18,880,12,2.09,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,1,0.0,2,0.85,10500000,"45,36,36,36,45,36,45,45,45,45,100,100",2025-12-15,"Image pack, Video, Popular products, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container is for sale,1,1,720,6,1.74,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,95,0.59,165,0.96,243000000,"16,24,10,36,66,24,24,41,36,30,41,20",2025-12-20,"Sitelinks, Video, Popular products, Related searches, See results about, AI overview",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
buy shipping container,1,1,720,17,2.09,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,95,0.59,198,0.94,139000000,"48,59,39,48,72,59,39,48,88,88,100,100",2025-12-17,"Local pack, Sitelinks, Video, Ads bottom, Shopping ads, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,False
ship container,3,3,720,24,1.89,https://www.royalwolf.com.au/shipping-containers,9,0.05,17,0.7,10,"100,36,54,36,41,4,7,7,8,8,16,13",2025-11-24,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, See results about",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20ft container for sale,3,3,720,16,1.88,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,46,0.28,86,0.84,2880000,"59,59,59,48,72,39,72,88,32,100,100,88",2025-12-18,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
20ft shipping container dimensions,4,4,720,19,0.53,https://www.royalwolf.com.au/product/20ft-shipping-containers,17,0.1,9,0.17,1340000,"88,59,88,48,72,72,88,88,48,59,72,72",2025-12-19,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
sea containers,4,3,720,56,2.6,https://www.royalwolf.com.au/,21,0.13,54,0.52,132000000,"72,88,72,59,72,39,88,39,48,59,100,88",2025-12-20,"Local pack, Sitelinks, Video, Image, Related searches, See results about",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
moving containers,5,5,720,43,3.19,https://www.royalwolf.com.au/relocations,15,0.09,47,0.65,125000000,"24,100,24,67,45,45,76,67,30,45,55,55",2025-12-19,"Local pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20 ft shipping container specs,5,5,720,17,0.53,https://www.royalwolf.com.au/product/20ft-shipping-containers,25,0.15,13,0.17,3560000,"55,36,45,36,76,100,67,76,67,76,13,67",2025-12-05,"Video, Video Carousel, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container measurements,5,5,720,29,0.31,https://www.royalwolf.com.au/storage-containers,0,0.0,0,0.22,24300000,"52,46,46,46,20,84,46,37,25,16,16,5",2025-10-05,"Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
container storage,5,5,720,28,3.06,https://www.royalwolf.com.au/self-storage,21,0.13,64,0.94,698000000,"20,16,16,16,20,16,16,16,20,16,36,36",2025-12-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20 foot container dimensions,5,5,720,18,0.54,https://www.royalwolf.com.au/product/20ft-shipping-containers,9,0.05,4,0.14,10,"25,31,31,20,31,68,46,31,84,31,37,84",2025-11-17,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container size,5,5,720,15,0.7,https://www.royalwolf.com.au/storage-containers,25,0.15,17,0.33,131000000,"16,62,81,62,36,45,55,36,45,36,36,62",2025-12-16,"Video, Image, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20 feet shipping container dimensions,6,6,720,14,0.53,https://www.royalwolf.com.au/product/20ft-shipping-containers,17,0.1,9,0.17,20600000,"55,36,45,36,45,100,67,76,67,76,24,20",2025-12-05,"Image pack, Video, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20ft container size,7,7,720,15,0.54,https://www.royalwolf.com.au/product/20ft-shipping-containers,17,0.1,9,0.14,2920000,"13,20,81,8,62,30,62,62,24,55,45,55",2025-12-03,"Video, Image, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
small container,8,8,720,39,0.51,https://www.royalwolf.com.au/product/8ft-minicube-container,5,0.03,2,1.0,1460000000,"100,59,59,88,39,100,100,72,72,59,88,100",2025-12-11,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
container storage,9,9,720,28,3.06,https://www.royalwolf.com.au/self-storage,1,0.0,3,0.94,698000000,"20,16,16,16,20,16,16,16,20,16,36,36",2025-12-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
small containers,10,10,720,30,0.51,https://www.royalwolf.com.au/product/8ft-minicube-container,2,0.01,1,1.0,1260000000,"32,100,59,32,88,88,88,59,88,72,100,100",2025-11-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
self storage townsville,11,11,720,22,1.95,https://www.royalwolf.com.au/product/self-storage-townsville,3,0.01,5,0.5,2530000,"67,100,67,67,67,55,45,67,55,45,45,55",2025-12-17,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
20ft container size,12,12,720,15,0.54,https://www.royalwolf.com.au/storage-containers,5,0.03,2,0.14,2920000,"13,20,81,8,62,30,62,62,24,55,45,55",2025-12-03,"Video, Image, Related searches, AI overview",informational,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage places townsville,13,13,720,28,1.95,https://www.royalwolf.com.au/product/self-storage-townsville,2,0.01,3,0.5,276000,"88,59,59,88,88,21,32,100,100,72,32,59",2025-12-08,"Local pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage rent,13,13,720,49,2.78,https://www.royalwolf.com.au/,2,0.01,5,0.71,230000000,"7,34,30,20,65,16,34,16,11,8,8,16",2025-10-13,"Local pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,False
20ft container for sale,15,15,720,16,1.88,https://www.royalwolf.com.au/product/20ft-shipping-containers,1,0.0,1,0.84,2880000,"59,59,59,48,72,39,72,88,32,100,100,88",2025-12-18,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
storage of containers,18,18,720,30,2.39,https://www.royalwolf.com.au/product/self-storage,1,0.0,2,1.0,333000000,"45,30,30,100,36,36,36,36,45,36,45,55",2025-10-13,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
sea containers,19,0,720,56,2.6,https://www.royalwolf.com.au/shipping-containers,1,0.0,2,0.52,132000000,"72,88,72,59,72,39,88,39,48,59,100,88",2025-12-20,"Local pack, Sitelinks, Video, Image, Related searches, See results about",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
container hire,1,1,590,31,4.39,https://www.royalwolf.com.au/shipping-containers,146,0.91,640,0.69,91800000,"36,24,30,24,24,30,45,45,36,55,45,100",2025-09-27,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Transactional,False
